id;cod_finding;date_start;date_end;date_closure;description;evidence;methodology;link_doc;link_doc_content_type;desc_how;type_finding;dept_invol;identification_cause;corrective_act;action_desc;creator_id
1;mobile Fish;2020-02-20;2020-02-21;2020-02-21;Dam;Practical Fresh Pants;Metal deposit;../fake-data/blob/hipster.png;image/png;Producer;83244;93855;Electronics;Soap methodology Albania;Home Namibia;1
2;Gorgeous Frozen Pants;2020-02-21;2020-02-21;2020-02-21;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;../fake-data/blob/hipster.png;image/png;Planner cross-platform access;9767;23089;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;1
3;Georgia Industrial;2020-02-20;2020-02-20;2020-02-21;e-enable Communications capacitor;Awesome;Aruba;../fake-data/blob/hipster.png;image/png;software scale interactive;82873;58675;Specialist Home Loan Account;Plastic;Car Industrial deliverables;1
4;24 hour;2020-02-21;2020-02-20;2020-02-21;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;../fake-data/blob/hipster.png;image/png;moratorium moratorium;72960;59129;tangible Mississippi;Frozen bus;hard drive Robust Networked;1
5;system Small;2020-02-21;2020-02-21;2020-02-21;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;../fake-data/blob/hipster.png;image/png;User-centric;7697;59886;Chilean Peso Unidades de fomento;Web virtual deposit;Squares mint green e-business;2
6;projection Fresh;2020-02-21;2020-02-21;2020-02-20;contextually-based;synergies copying;ability Hat Iraq;../fake-data/blob/hipster.png;image/png;magenta Concrete;33761;24412;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;1
7;Supervisor;2020-02-21;2020-02-21;2020-02-20;paradigms Home;Investor Public-key;Lebanon;../fake-data/blob/hipster.png;image/png;Designer Persistent;67213;8085;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;1
8;Bedfordshire;2020-02-21;2020-02-21;2020-02-20;neural-net red;Buckinghamshire Future-proofed deposit;Quality;../fake-data/blob/hipster.png;image/png;synthesize Creative;13752;67569;bandwidth azure;SMS Enhanced;Bacon Designer;2
9;content-based Executive;2020-02-20;2020-02-20;2020-02-21;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;../fake-data/blob/hipster.png;image/png;Dynamic Home Loan Account Tools;10147;94013;Supervisor clear-thinking;Latvia;Ports Manager Fish;1
10;Bedfordshire;2020-02-21;2020-02-20;2020-02-21;program alarm;Nevada;Berkshire;../fake-data/blob/hipster.png;image/png;dedicated Persevering;97301;97889;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;1
