id;cod_doc;name_doc;storage;date_creation;duration;final_disposition;origin;doc;doc_content_type;content;departament_id;type_id
1;mobile Fish;Home Loan Account Table Computer;Trace;2020-04-29;Metal deposit;Producer;83244;../fake-data/blob/hipster.png;image/png;red Chips Soap;1;1
2;Home Loan Account;web-readiness;Namibia;2020-04-29;Gorgeous Frozen Pants;Common;78517;../fake-data/blob/hipster.png;image/png;grey Cambridgeshire;2;2
3;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;2020-04-29;Bahamian Dollar Investment Account;Games Regional Digitized;66252;../fake-data/blob/hipster.png;image/png;hardware Costa Rica Mayotte;3;3
4;Industrial;connect Markets Chief;capacitor archive;2020-04-28;Aruba;software scale interactive;82873;../fake-data/blob/hipster.png;image/png;compelling mission-critical;4;4
5;bifurcated scalable;Small;deliverables reinvent 24 hour;2020-04-29;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;../fake-data/blob/hipster.png;image/png;Investment Account archive Fantastic Plastic Chicken;5;5
6;payment;withdrawal COM;embrace Developer;2020-04-28;hard drive Robust Networked;Poland;42754;../fake-data/blob/hipster.png;image/png;Grocery;6;6
7;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;2020-04-29;Brand;neutral Salad;92969;../fake-data/blob/hipster.png;image/png;virtual deposit;7;7
8;Squares mint green e-business;Ghana back-end National;Direct;2020-04-29;withdrawal;copying;86073;../fake-data/blob/hipster.png;image/png;Games;8;8
9;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;2020-04-28;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;../fake-data/blob/hipster.png;image/png;Personal Loan Account;9;9
10;paradigms Home;Investor Public-key;Lebanon;2020-04-28;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;36778;../fake-data/blob/hipster.png;image/png;invoice withdrawal;10;10
